Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
376677,Undergraduate students,182,71,111,1,0,1,7,1,6,108,53,55,14,4,10,2,0,2,43,11,32,4,2,2,3,0,3,0,0,0
376695,Total students enrolled for credit,1329,665,664,0,0,0,2,1,1,0,0,0,0,0,0,1326,663,663,1,1,0,0,0,0,0,0,0,0,0,0
376695,Undergraduate students,1329,665,664,0,0,0,2,1,1,0,0,0,0,0,0,1326,663,663,1,1,0,0,0,0,0,0,0,0,0,0
377111,Total students enrolled for credit,872,297,575,7,2,5,10,4,6,295,102,193,273,92,181,0,0,0,247,87,160,32,4,28,7,5,2,1,1,0
377111,Undergraduate students,872,297,575,7,2,5,10,4,6,295,102,193,273,92,181,0,0,0,247,87,160,32,4,28,7,5,2,1,1,0
377193,Total students enrolled for credit,80,8,72,0,0,0,1,0,1,5,0,5,45,0,45,0,0,0,13,0,13,0,0,0,16,8,8,0,0,0
377193,Undergraduate students,80,8,72,0,0,0,1,0,1,5,0,5,45,0,45,0,0,0,13,0,13,0,0,0,16,8,8,0,0,0
377218,Total students enrolled for credit,324,321,3,4,4,0,5,5,0,25,25,0,48,48,0,1,1,0,232,229,3,7,7,0,0,0,0,2,2,0
377218,Undergraduate students,324,321,3,4,4,0,5,5,0,25,25,0,48,48,0,1,1,0,232,229,3,7,7,0,0,0,0,2,2,0
377272,Total students enrolled for credit,41,2,39,0,0,0,0,0,0,4,0,4,25,2,23,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0
377272,Undergraduate students,41,2,39,0,0,0,0,0,0,4,0,4,25,2,23,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0
377281,Total students enrolled for credit,71,4,67,0,0,0,5,1,4,14,0,14,33,2,31,0,0,0,19,1,18,0,0,0,0,0,0,0,0,0
377281,Undergraduate students,71,4,67,0,0,0,5,1,4,14,0,14,33,2,31,0,0,0,19,1,18,0,0,0,0,0,0,0,0,0
377315,Total students enrolled for credit,106,3,103,0,0,0,5,0,5,9,1,8,29,0,29,0,0,0,63,2,61,0,0,0,0,0,0,0,0,0
377315,Undergraduate students,106,3,103,0,0,0,5,0,5,9,1,8,29,0,29,0,0,0,63,2,61,0,0,0,0,0,0,0,0,0
377342,Total students enrolled for credit,843,167,676,8,2,6,3,1,2,298,58,240,198,45,153,4,0,4,228,42,186,39,6,33,65,13,52,0,0,0
377342,Undergraduate students,843,167,676,8,2,6,3,1,2,298,58,240,198,45,153,4,0,4,228,42,186,39,6,33,65,13,52,0,0,0
377449,Total students enrolled for credit,423,86,337,0,0,0,2,0,2,257,50,207,33,8,25,2,2,0,80,13,67,37,10,27,12,3,9,0,0,0
377449,Undergraduate students,423,86,337,0,0,0,2,0,2,257,50,207,33,8,25,2,2,0,80,13,67,37,10,27,12,3,9,0,0,0
377458,Total students enrolled for credit,532,38,494,2,0,2,4,1,3,345,18,327,33,4,29,1,0,1,103,9,94,29,6,23,15,0,15,0,0,0
377458,Undergraduate students,532,38,494,2,0,2,4,1,3,345,18,327,33,4,29,1,0,1,103,9,94,29,6,23,15,0,15,0,0,0
377485,Total students enrolled for credit,60,4,56,0,0,0,9,2,7,16,0,16,5,0,5,0,0,0,26,2,24,2,0,2,2,0,2,0,0,0
377485,Undergraduate students,60,4,56,0,0,0,9,2,7,16,0,16,5,0,5,0,0,0,26,2,24,2,0,2,2,0,2,0,0,0
377546,Total students enrolled for credit,114,36,78,6,3,3,6,0,6,4,0,4,10,5,5,1,1,0,73,21,52,14,6,8,0,0,0,0,0,0
377546,Undergraduate students,114,36,78,6,3,3,6,0,6,4,0,4,10,5,5,1,1,0,73,21,52,14,6,8,0,0,0,0,0,0
377555,Total students enrolled for credit,6864,3402,3462,17,8,9,1662,846,816,414,184,230,576,252,324,45,20,25,2864,1442,1422,388,179,209,182,83,99,716,388,328
377555,Undergraduate students,6175,3098,3077,15,7,8,1569,805,764,393,173,220,537,237,300,44,20,24,2479,1266,1213,364,170,194,157,76,81,617,344,273
377555,Graduate student,689,304,385,2,1,1,93,41,52,21,11,10,39,15,24,1,0,1,385,176,209,24,9,15,25,7,18,99,44,55
377564,Total students enrolled for credit,5998,2787,3211,39,14,25,1046,532,514,458,210,248,736,305,431,74,30,44,2618,1180,1438,479,209,270,152,72,80,396,235,161
377564,Undergraduate students,5095,2453,2642,34,13,21,955,492,463,387,176,211,671,286,385,71,29,42,2174,1033,1141,421,188,233,124,67,57,258,169,89
377564,Graduate student,903,334,569,5,1,4,91,40,51,71,34,37,65,19,46,3,1,2,444,147,297,58,21,37,28,5,23,138,66,72
377652,Total students enrolled for credit,498,140,358,1,1,0,0,0,0,47,16,31,2,1,1,0,0,0,442,122,320,5,0,5,1,0,1,0,0,0
377652,Undergraduate students,498,140,358,1,1,0,0,0,0,47,16,31,2,1,1,0,0,0,442,122,320,5,0,5,1,0,1,0,0,0
377661,Total students enrolled for credit,498,100,398,3,3,0,3,0,3,77,26,51,13,1,12,2,0,2,380,63,317,19,7,12,1,0,1,0,0,0
377661,Undergraduate students,498,100,398,3,3,0,3,0,3,77,26,51,13,1,12,2,0,2,380,63,317,19,7,12,1,0,1,0,0,0
377670,Total students enrolled for credit,241,37,204,0,0,0,0,0,0,29,7,22,1,0,1,0,0,0,198,30,168,9,0,9,4,0,4,0,0,0
377670,Undergraduate students,241,37,204,0,0,0,0,0,0,29,7,22,1,0,1,0,0,0,198,30,168,9,0,9,4,0,4,0,0,0
377722,Total students enrolled for credit,620,72,548,10,1,9,45,4,41,38,14,24,160,20,140,8,3,5,273,17,256,76,12,64,10,1,9,0,0,0
377722,Undergraduate students,620,72,548,10,1,9,45,4,41,38,14,24,160,20,140,8,3,5,273,17,256,76,12,64,10,1,9,0,0,0
377759,Total students enrolled for credit,62,55,7,0,0,0,12,10,2,6,6,0,31,27,4,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0
377759,Undergraduate students,62,55,7,0,0,0,12,10,2,6,6,0,31,27,4,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0
378105,Total students enrolled for credit,261,52,209,1,0,1,3,2,1,3,0,3,189,11,178,2,1,1,13,1,12,3,1,2,47,36,11,0,0,0
378105,Undergraduate students,261,52,209,1,0,1,3,2,1,3,0,3,189,11,178,2,1,1,13,1,12,3,1,2,47,36,11,0,0,0
378576,Total students enrolled for credit,1240,329,911,16,2,14,143,37,106,40,13,27,147,49,98,42,13,29,662,165,497,78,20,58,109,30,79,3,0,3
378576,Undergraduate students,261,70,191,2,0,2,18,6,12,18,8,10,53,17,36,6,2,4,96,21,75,32,7,25,35,9,26,1,0,1
378576,Graduate student,979,259,720,14,2,12,125,31,94,22,5,17,94,32,62,36,11,25,566,144,422,46,13,33,74,21,53,2,0,2
378886,Total students enrolled for credit,262,77,185,0,0,0,3,1,2,113,35,78,78,29,49,0,0,0,47,6,41,19,5,14,2,1,1,0,0,0
378886,Undergraduate students,262,77,185,0,0,0,3,1,2,113,35,78,78,29,49,0,0,0,47,6,41,19,5,14,2,1,1,0,0,0
378956,Total students enrolled for credit,987,940,47,3,3,0,27,27,0,152,142,10,239,231,8,6,6,0,536,508,28,17,16,1,2,2,0,5,5,0
378956,Undergraduate students,987,940,47,3,3,0,27,27,0,152,142,10,239,231,8,6,6,0,536,508,28,17,16,1,2,2,0,5,5,0
379621,Total students enrolled for credit,84,7,77,0,0,0,2,1,1,14,1,13,6,0,6,0,0,0,62,5,57,0,0,0,0,0,0,0,0,0
379621,Undergraduate students,84,7,77,0,0,0,2,1,1,14,1,13,6,0,6,0,0,0,62,5,57,0,0,0,0,0,0,0,0,0
379746,Total students enrolled for credit,141,10,131,0,0,0,0,0,0,17,2,15,120,7,113,0,0,0,3,1,2,0,0,0,1,0,1,0,0,0
379746,Undergraduate students,141,10,131,0,0,0,0,0,0,17,2,15,120,7,113,0,0,0,3,1,2,0,0,0,1,0,1,0,0,0
379782,Total students enrolled for credit,338,48,290,1,0,1,8,2,6,99,14,85,98,14,84,0,0,0,131,18,113,0,0,0,0,0,0,1,0,1
379782,Undergraduate students,338,48,290,1,0,1,8,2,6,99,14,85,98,14,84,0,0,0,131,18,113,0,0,0,0,0,0,1,0,1
380067,Total students enrolled for credit,165,2,163,0,0,0,0,0,0,63,0,63,100,2,98,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
380067,Undergraduate students,165,2,163,0,0,0,0,0,0,63,0,63,100,2,98,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
380359,Total students enrolled for credit,596,186,410,329,112,217,3,1,2,7,1,6,11,2,9,0,0,0,246,70,176,0,0,0,0,0,0,0,0,0
380359,Undergraduate students,596,186,410,329,112,217,3,1,2,7,1,6,11,2,9,0,0,0,246,70,176,0,0,0,0,0,0,0,0,0
380368,Total students enrolled for credit,2522,1094,1428,196,72,124,26,13,13,94,73,21,63,32,31,2,1,1,1956,824,1132,162,70,92,23,9,14,0,0,0
380368,Undergraduate students,2522,1094,1428,196,72,124,26,13,13,94,73,21,63,32,31,2,1,1,1956,824,1132,162,70,92,23,9,14,0,0,0
380377,Total students enrolled for credit,835,268,567,778,244,534,0,0,0,4,3,1,8,3,5,1,0,1,36,16,20,4,1,3,4,1,3,0,0,0
380377,Undergraduate students,835,268,567,778,244,534,0,0,0,4,3,1,8,3,5,1,0,1,36,16,20,4,1,3,4,1,3,0,0,0
380438,Total students enrolled for credit,599,158,441,8,3,5,9,3,6,15,5,10,109,24,85,17,8,9,433,112,321,8,3,5,0,0,0,0,0,0
380438,Undergraduate students,599,158,441,8,3,5,9,3,6,15,5,10,109,24,85,17,8,9,433,112,321,8,3,5,0,0,0,0,0,0
380456,Total students enrolled for credit,161,4,157,0,0,0,1,0,1,1,0,1,6,1,5,3,0,3,140,2,138,9,1,8,0,0,0,1,0,1
380456,Undergraduate students,161,4,157,0,0,0,1,0,1,1,0,1,6,1,5,3,0,3,140,2,138,9,1,8,0,0,0,1,0,1
380465,Total students enrolled for credit,631,330,301,2,2,0,12,5,7,15,11,4,47,32,15,10,5,5,341,175,166,7,1,6,188,95,93,9,4,5
380465,Undergraduate students,296,204,92,2,2,0,7,4,3,6,6,0,34,25,9,6,2,4,158,106,52,4,1,3,76,56,20,3,2,1
380465,Graduate student,335,126,209,0,0,0,5,1,4,9,5,4,13,7,6,4,3,1,183,69,114,3,0,3,112,39,73,6,2,4
380474,Total students enrolled for credit,457,100,357,5,1,4,4,2,2,5,1,4,89,12,77,4,0,4,272,64,208,14,2,12,64,18,46,0,0,0
380474,Undergraduate students,457,100,357,5,1,4,4,2,2,5,1,4,89,12,77,4,0,4,272,64,208,14,2,12,64,18,46,0,0,0
381255,Total students enrolled for credit,200,151,49,0,0,0,0,0,0,4,4,0,191,142,49,1,1,0,3,3,0,0,0,0,1,1,0,0,0,0
381255,Undergraduate students,200,151,49,0,0,0,0,0,0,4,4,0,191,142,49,1,1,0,3,3,0,0,0,0,1,1,0,0,0,0
381282,Total students enrolled for credit,260,139,121,0,0,0,3,3,0,3,2,1,239,123,116,1,1,0,9,6,3,5,4,1,0,0,0,0,0,0
381282,Undergraduate students,260,139,121,0,0,0,3,3,0,3,2,1,239,123,116,1,1,0,9,6,3,5,4,1,0,0,0,0,0,0
381325,Total students enrolled for credit,238,70,168,1,0,1,2,0,2,9,6,3,213,59,154,1,0,1,8,4,4,4,1,3,0,0,0,0,0,0
381325,Undergraduate students,238,70,168,1,0,1,2,0,2,9,6,3,213,59,154,1,0,1,8,4,4,4,1,3,0,0,0,0,0,0
381352,Total students enrolled for credit,137,27,110,9,1,8,17,9,8,4,1,3,11,5,6,0,0,0,91,8,83,0,0,0,5,3,2,0,0,0
381352,Graduate student,137,27,110,9,1,8,17,9,8,4,1,3,11,5,6,0,0,0,91,8,83,0,0,0,5,3,2,0,0,0
381361,Total students enrolled for credit,93,18,75,3,1,2,6,3,3,5,1,4,6,2,4,0,0,0,70,11,59,1,0,1,2,0,2,0,0,0
381361,Undergraduate students,93,18,75,3,1,2,6,3,3,5,1,4,6,2,4,0,0,0,70,11,59,1,0,1,2,0,2,0,0,0
381370,Total students enrolled for credit,416,12,404,2,0,2,15,1,14,172,4,168,11,0,11,1,0,1,192,7,185,8,0,8,15,0,15,0,0,0
381370,Undergraduate students,416,12,404,2,0,2,15,1,14,172,4,168,11,0,11,1,0,1,192,7,185,8,0,8,15,0,15,0,0,0
381404,Total students enrolled for credit,451,17,434,2,0,2,6,3,3,234,7,227,121,3,118,1,0,1,61,3,58,14,1,13,12,0,12,0,0,0
381404,Undergraduate students,451,17,434,2,0,2,6,3,3,234,7,227,121,3,118,1,0,1,61,3,58,14,1,13,12,0,12,0,0,0
381459,Total students enrolled for credit,298,203,95,4,2,2,17,11,6,14,7,7,14,10,4,0,0,0,225,158,67,19,11,8,5,4,1,0,0,0
381459,Graduate student,298,203,95,4,2,2,17,11,6,14,7,7,14,10,4,0,0,0,225,158,67,19,11,8,5,4,1,0,0,0
381486,Total students enrolled for credit,19,0,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0
381486,Undergraduate students,19,0,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0
381699,Total students enrolled for credit,34,1,33,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,21,1,20,0,0,0,0,0,0,0,0,0
381699,Undergraduate students,34,1,33,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,21,1,20,0,0,0,0,0,0,0,0,0
381732,Total students enrolled for credit,201,32,169,0,0,0,2,0,2,5,1,4,19,3,16,0,0,0,173,28,145,0,0,0,0,0,0,2,0,2
381732,Undergraduate students,201,32,169,0,0,0,2,0,2,5,1,4,19,3,16,0,0,0,173,28,145,0,0,0,0,0,0,2,0,2
381866,Total students enrolled for credit,82,17,65,1,0,1,3,0,3,3,1,2,7,2,5,1,0,1,67,14,53,0,0,0,0,0,0,0,0,0
381866,Undergraduate students,82,17,65,1,0,1,3,0,3,3,1,2,7,2,5,1,0,1,67,14,53,0,0,0,0,0,0,0,0,0
381945,Total students enrolled for credit,438,133,305,0,0,0,32,10,22,46,11,35,204,56,148,0,0,0,98,44,54,2,2,0,16,5,11,40,5,35
381945,Undergraduate students,438,133,305,0,0,0,32,10,22,46,11,35,204,56,148,0,0,0,98,44,54,2,2,0,16,5,11,40,5,35
382063,Total students enrolled for credit,243,140,103,0,0,0,0,0,0,0,0,0,184,100,84,1,1,0,2,1,1,1,1,0,51,33,18,4,4,0
382063,Undergraduate students,114,71,43,0,0,0,0,0,0,0,0,0,88,51,37,0,0,0,1,1,0,0,0,0,25,19,6,0,0,0
382063,Graduate student,129,69,60,0,0,0,0,0,0,0,0,0,96,49,47,1,1,0,1,0,1,1,1,0,26,14,12,4,4,0
382258,Total students enrolled for credit,183,34,149,1,0,1,20,8,12,15,2,13,76,12,64,1,0,1,70,12,58,0,0,0,0,0,0,0,0,0
382258,Undergraduate students,183,34,149,1,0,1,20,8,12,15,2,13,76,12,64,1,0,1,70,12,58,0,0,0,0,0,0,0,0,0
382267,Total students enrolled for credit,157,48,109,2,0,2,6,1,5,22,11,11,65,25,40,3,2,1,53,7,46,4,1,3,1,1,0,1,0,1
382267,Undergraduate students,157,48,109,2,0,2,6,1,5,22,11,11,65,25,40,3,2,1,53,7,46,4,1,3,1,1,0,1,0,1
382416,Total students enrolled for credit,82,23,59,0,0,0,3,2,1,26,12,14,15,3,12,0,0,0,38,6,32,0,0,0,0,0,0,0,0,0
382416,Undergraduate students,82,23,59,0,0,0,3,2,1,26,12,14,15,3,12,0,0,0,38,6,32,0,0,0,0,0,0,0,0,0
382461,Total students enrolled for credit,73,0,73,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0
382461,Undergraduate students,73,0,73,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0
382504,Total students enrolled for credit,461,125,336,5,0,5,6,2,4,188,47,141,78,17,61,0,0,0,157,53,104,27,6,21,0,0,0,0,0,0
382504,Undergraduate students,461,125,336,5,0,5,6,2,4,188,47,141,78,17,61,0,0,0,157,53,104,27,6,21,0,0,0,0,0,0
382771,Total students enrolled for credit,909,274,635,1,0,1,7,2,5,304,96,208,52,12,40,5,2,3,497,151,346,29,5,24,14,6,8,0,0,0
382771,Undergraduate students,909,274,635,1,0,1,7,2,5,304,96,208,52,12,40,5,2,3,497,151,346,29,5,24,14,6,8,0,0,0
382780,Total students enrolled for credit,216,5,211,0,0,0,1,0,1,36,2,34,25,0,25,0,0,0,126,3,123,1,0,1,27,0,27,0,0,0
382780,Undergraduate students,216,5,211,0,0,0,1,0,1,36,2,34,25,0,25,0,0,0,126,3,123,1,0,1,27,0,27,0,0,0
382896,Total students enrolled for credit,584,95,489,3,1,2,17,12,5,152,32,120,278,18,260,0,0,0,91,23,68,7,1,6,36,8,28,0,0,0
382896,Undergraduate students,584,95,489,3,1,2,17,12,5,152,32,120,278,18,260,0,0,0,91,23,68,7,1,6,36,8,28,0,0,0
382902,Total students enrolled for credit,98,3,95,0,0,0,0,0,0,26,2,24,18,1,17,2,0,2,52,0,52,0,0,0,0,0,0,0,0,0
382902,Undergraduate students,98,3,95,0,0,0,0,0,0,26,2,24,18,1,17,2,0,2,52,0,52,0,0,0,0,0,0,0,0,0
382911,Total students enrolled for credit,128,59,69,6,4,2,4,4,0,20,8,12,46,22,24,1,1,0,34,10,24,5,1,4,0,0,0,12,9,3
382911,Undergraduate students,128,59,69,6,4,2,4,4,0,20,8,12,46,22,24,1,1,0,34,10,24,5,1,4,0,0,0,12,9,3
382957,Total students enrolled for credit,624,263,361,1,0,1,10,4,6,458,192,266,14,6,8,0,0,0,91,36,55,12,4,8,38,21,17,0,0,0
382957,Undergraduate students,624,263,361,1,0,1,10,4,6,458,192,266,14,6,8,0,0,0,91,36,55,12,4,8,38,21,17,0,0,0
383020,Total students enrolled for credit,81,15,66,2,0,2,6,2,4,5,2,3,2,0,2,1,0,1,65,11,54,0,0,0,0,0,0,0,0,0
383020,Undergraduate students,19,3,16,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,16,2,14,0,0,0,0,0,0,0,0,0
383020,Graduate student,62,12,50,2,0,2,5,2,3,4,1,3,2,0,2,0,0,0,49,9,40,0,0,0,0,0,0,0,0,0
383084,Total students enrolled for credit,5640,2528,3112,25,13,12,458,195,263,278,215,63,3012,980,2032,132,35,97,1582,1020,562,12,7,5,141,63,78,0,0,0
383084,Undergraduate students,5640,2528,3112,25,13,12,458,195,263,278,215,63,3012,980,2032,132,35,97,1582,1020,562,12,7,5,141,63,78,0,0,0
383163,Total students enrolled for credit,409,18,391,0,0,0,2,0,2,4,1,3,398,17,381,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
383163,Undergraduate students,409,18,391,0,0,0,2,0,2,4,1,3,398,17,381,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
383172,Total students enrolled for credit,48,8,40,0,0,0,0,0,0,5,0,5,43,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383172,Undergraduate students,48,8,40,0,0,0,0,0,0,5,0,5,43,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383190,Total students enrolled for credit,3769,1458,2311,12,5,7,653,280,373,24,13,11,579,196,383,300,102,198,557,223,334,1575,616,959,13,5,8,56,18,38
383190,Undergraduate students,3769,1458,2311,12,5,7,653,280,373,24,13,11,579,196,383,300,102,198,557,223,334,1575,616,959,13,5,8,56,18,38
383279,Total students enrolled for credit,257,63,194,2,0,2,6,2,4,74,23,51,94,19,75,0,0,0,69,17,52,4,1,3,1,0,1,7,1,6
383279,Undergraduate students,257,63,194,2,0,2,6,2,4,74,23,51,94,19,75,0,0,0,69,17,52,4,1,3,1,0,1,7,1,6
383297,Total students enrolled for credit,316,14,302,1,0,1,2,0,2,38,2,36,59,1,58,0,0,0,189,9,180,5,1,4,10,1,9,12,0,12
383297,Undergraduate students,316,14,302,1,0,1,2,0,2,38,2,36,59,1,58,0,0,0,189,9,180,5,1,4,10,1,9,12,0,12
383312,Total students enrolled for credit,117,52,65,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,113,52,61,0,0,0,0,0,0,0,0,0
383312,Undergraduate students,117,52,65,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,113,52,61,0,0,0,0,0,0,0,0,0
383330,Total students enrolled for credit,97,25,72,0,0,0,0,0,0,24,3,21,3,1,2,0,0,0,68,20,48,1,0,1,1,1,0,0,0,0
383330,Undergraduate students,97,25,72,0,0,0,0,0,0,24,3,21,3,1,2,0,0,0,68,20,48,1,0,1,1,1,0,0,0,0
383367,Total students enrolled for credit,318,72,246,0,0,0,1,1,0,6,1,5,6,2,4,1,0,1,296,67,229,5,0,5,3,1,2,0,0,0
383367,Undergraduate students,318,72,246,0,0,0,1,1,0,6,1,5,6,2,4,1,0,1,296,67,229,5,0,5,3,1,2,0,0,0
383464,Total students enrolled for credit,198,23,175,1,0,1,5,1,4,48,9,39,52,8,44,1,0,1,80,5,75,0,0,0,11,0,11,0,0,0
383464,Undergraduate students,198,23,175,1,0,1,5,1,4,48,9,39,52,8,44,1,0,1,80,5,75,0,0,0,11,0,11,0,0,0
383525,Total students enrolled for credit,164,45,119,0,0,0,0,0,0,55,17,38,44,22,22,0,0,0,65,6,59,0,0,0,0,0,0,0,0,0
383525,Undergraduate students,164,45,119,0,0,0,0,0,0,55,17,38,44,22,22,0,0,0,65,6,59,0,0,0,0,0,0,0,0,0
383765,Total students enrolled for credit,204,7,197,1,0,1,12,0,12,93,4,89,28,0,28,1,0,1,33,1,32,5,1,4,31,1,30,0,0,0
383765,Undergraduate students,204,7,197,1,0,1,12,0,12,93,4,89,28,0,28,1,0,1,33,1,32,5,1,4,31,1,30,0,0,0
383792,Total students enrolled for credit,225,2,223,0,0,0,0,0,0,66,1,65,159,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383792,Undergraduate students,225,2,223,0,0,0,0,0,0,66,1,65,159,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383950,Total students enrolled for credit,354,30,324,2,0,2,1,0,1,257,21,236,1,0,1,0,0,0,92,9,83,1,0,1,0,0,0,0,0,0
383950,Undergraduate students,354,30,324,2,0,2,1,0,1,257,21,236,1,0,1,0,0,0,92,9,83,1,0,1,0,0,0,0,0,0
383996,Total students enrolled for credit,1021,417,604,128,42,86,7,1,6,21,11,10,332,134,198,3,2,1,423,182,241,21,7,14,75,35,40,11,3,8
383996,Undergraduate students,1021,417,604,128,42,86,7,1,6,21,11,10,332,134,198,3,2,1,423,182,241,21,7,14,75,35,40,11,3,8
384236,Total students enrolled for credit,675,274,401,2,1,1,13,6,7,53,24,29,514,196,318,5,0,5,65,33,32,22,14,8,1,0,1,0,0,0
384236,Undergraduate students,675,274,401,2,1,1,13,6,7,53,24,29,514,196,318,5,0,5,65,33,32,22,14,8,1,0,1,0,0,0
384245,Total students enrolled for credit,967,300,667,2,1,1,33,12,21,44,17,27,733,208,525,25,11,14,116,46,70,13,5,8,1,0,1,0,0,0
384245,Undergraduate students,967,300,667,2,1,1,33,12,21,44,17,27,733,208,525,25,11,14,116,46,70,13,5,8,1,0,1,0,0,0
384254,Total students enrolled for credit,343,197,146,4,1,3,11,7,4,54,29,25,18,12,6,1,0,1,233,135,98,12,7,5,0,0,0,10,6,4
384254,Undergraduate students,343,197,146,4,1,3,11,7,4,54,29,25,18,12,6,1,0,1,233,135,98,12,7,5,0,0,0,10,6,4
384306,Total students enrolled for credit,119,24,95,0,0,0,14,5,9,5,1,4,7,2,5,1,0,1,65,12,53,11,2,9,11,2,9,5,0,5
384306,Graduate student,119,24,95,0,0,0,14,5,9,5,1,4,7,2,5,1,0,1,65,12,53,11,2,9,11,2,9,5,0,5
384333,Total students enrolled for credit,13080,5276,7804,205,85,120,497,218,279,1088,438,650,6441,2469,3972,54,22,32,4051,1744,2307,312,120,192,391,159,232,41,21,20
384333,Undergraduate students,13080,5276,7804,205,85,120,497,218,279,1088,438,650,6441,2469,3972,54,22,32,4051,1744,2307,312,120,192,391,159,232,41,21,20
384342,Total students enrolled for credit,9167,4428,4739,17,6,11,381,164,217,1130,531,599,655,295,360,2,1,1,6166,2990,3176,365,173,192,381,233,148,70,35,35
384342,Undergraduate students,9167,4428,4739,17,6,11,381,164,217,1130,531,599,655,295,360,2,1,1,6166,2990,3176,365,173,192,381,233,148,70,35,35
384412,Total students enrolled for credit,205,112,93,2,0,2,2,1,1,114,63,51,6,4,2,0,0,0,41,22,19,6,4,2,11,5,6,23,13,10
384412,Undergraduate students,181,106,75,1,0,1,1,0,1,101,59,42,6,4,2,0,0,0,35,22,13,6,4,2,9,5,4,22,12,10
384412,Graduate student,24,6,18,1,0,1,1,1,0,13,4,9,0,0,0,0,0,0,6,0,6,0,0,0,2,0,2,1,1,0
384421,Total students enrolled for credit,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,0,0,0,0,0,0,3,3,0
384421,Undergraduate students,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,0,0,0,0,0,0,3,3,0
385132,Total students enrolled for credit,182,14,168,0,0,0,2,0,2,26,3,23,20,2,18,2,0,2,122,9,113,10,0,10,0,0,0,0,0,0
385132,Undergraduate students,182,14,168,0,0,0,2,0,2,26,3,23,20,2,18,2,0,2,122,9,113,10,0,10,0,0,0,0,0,0
385503,Total students enrolled for credit,463,32,431,0,0,0,7,0,7,60,9,51,75,6,69,1,1,0,316,16,300,2,0,2,2,0,2,0,0,0
385503,Undergraduate students,463,32,431,0,0,0,7,0,7,60,9,51,75,6,69,1,1,0,316,16,300,2,0,2,2,0,2,0,0,0
385549,Total students enrolled for credit,136,28,108,1,0,1,5,2,3,20,7,13,68,17,51,1,0,1,40,2,38,0,0,0,1,0,1,0,0,0
385549,Undergraduate students,136,28,108,1,0,1,5,2,3,20,7,13,68,17,51,1,0,1,40,2,38,0,0,0,1,0,1,0,0,0
385619,Total students enrolled for credit,2539,1251,1288,29,12,17,46,21,25,467,237,230,448,237,211,6,3,3,1276,611,665,84,40,44,181,88,93,2,2,0
385619,Undergraduate students,2144,1062,1082,26,12,14,30,15,15,371,189,182,372,196,176,5,2,3,1109,540,569,71,31,40,159,76,83,1,1,0
385619,Graduate student,395,189,206,3,0,3,16,6,10,96,48,48,76,41,35,1,1,0,167,71,96,13,9,4,22,12,10,1,1,0
386153,Total students enrolled for credit,341,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,336,0,0,0,0,0,0,5,0,5
386153,Undergraduate students,341,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,336,0,0,0,0,0,0,5,0,5
386472,Total students enrolled for credit,970,207,763,8,2,6,46,17,29,294,60,234,231,49,182,0,0,0,280,58,222,5,2,3,106,19,87,0,0,0
386472,Undergraduate students,901,185,716,8,2,6,42,17,25,272,50,222,211,45,166,0,0,0,263,53,210,4,2,2,101,16,85,0,0,0
386472,Graduate student,69,22,47,0,0,0,4,0,4,22,10,12,20,4,16,0,0,0,17,5,12,1,0,1,5,3,2,0,0,0
