Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
102058,Graduate student,16,11,5,0,0,0,0,0,0,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102067,Total students enrolled for credit,7449,3210,4239,20,11,9,70,28,42,2632,918,1714,13,5,8,4,2,2,4183,1984,2199,137,47,90,258,125,133,132,90,42
102067,Undergraduate students,7449,3210,4239,20,11,9,70,28,42,2632,918,1714,13,5,8,4,2,2,4183,1984,2199,137,47,90,258,125,133,132,90,42
102076,Total students enrolled for credit,3534,1332,2202,84,31,53,30,15,15,291,124,167,295,108,187,5,2,3,2745,1012,1733,0,0,0,44,24,20,40,16,24
102076,Undergraduate students,3534,1332,2202,84,31,53,30,15,15,291,124,167,295,108,187,5,2,3,2745,1012,1733,0,0,0,44,24,20,40,16,24
102094,Total students enrolled for credit,18481,7168,11313,139,53,86,602,235,367,3732,1223,2509,536,185,351,30,15,15,11119,4008,7111,456,163,293,620,225,395,1247,1061,186
102094,Undergraduate students,12848,5877,6971,94,40,54,390,181,209,2827,1087,1740,384,158,226,17,9,8,7336,3149,4187,367,142,225,374,170,204,1059,941,118
102094,Graduate student,5633,1291,4342,45,13,32,212,54,158,905,136,769,152,27,125,13,6,7,3783,859,2924,89,21,68,246,55,191,188,120,68
102234,Total students enrolled for credit,1579,598,981,11,5,6,24,7,17,225,69,156,51,25,26,5,3,2,1103,427,676,64,15,49,51,16,35,45,31,14
102234,Undergraduate students,1442,533,909,9,3,6,20,5,15,209,65,144,46,22,24,5,3,2,999,378,621,64,15,49,50,16,34,40,26,14
102234,Graduate student,137,65,72,2,2,0,4,2,2,16,4,12,5,3,2,0,0,0,104,49,55,0,0,0,1,0,1,5,5,0
102270,Total students enrolled for credit,801,363,438,1,1,0,3,2,1,664,293,371,6,3,3,0,0,0,56,36,20,0,0,0,71,28,43,0,0,0
102270,Undergraduate students,801,363,438,1,1,0,3,2,1,664,293,371,6,3,3,0,0,0,56,36,20,0,0,0,71,28,43,0,0,0
102298,Total students enrolled for credit,932,484,448,2,1,1,0,0,0,789,416,373,43,23,20,1,0,1,33,9,24,26,11,15,16,9,7,22,15,7
102298,Undergraduate students,932,484,448,2,1,1,0,0,0,789,416,373,43,23,20,1,0,1,33,9,24,26,11,15,16,9,7,22,15,7
102313,Total students enrolled for credit,2348,1167,1181,3,0,3,37,26,11,1551,686,865,39,25,14,0,0,0,713,427,286,3,2,1,2,1,1,0,0,0
102313,Undergraduate students,2348,1167,1181,3,0,3,37,26,11,1551,686,865,39,25,14,0,0,0,713,427,286,3,2,1,2,1,1,0,0,0
102368,Total students enrolled for credit,22125,8632,13493,126,54,72,173,87,86,6962,2153,4809,793,358,435,30,17,13,10149,4193,5956,578,224,354,2241,941,1300,1073,605,468
102368,Undergraduate students,16979,6868,10111,100,45,55,143,79,64,5383,1800,3583,634,294,340,25,16,9,8661,3664,4997,486,194,292,790,367,423,757,409,348
102368,Graduate student,5146,1764,3382,26,9,17,30,8,22,1579,353,1226,159,64,95,5,1,4,1488,529,959,92,30,62,1451,574,877,316,196,120
102377,Total students enrolled for credit,3219,1224,1995,11,10,1,24,15,9,2537,842,1695,42,10,32,25,10,15,40,19,21,28,16,12,512,302,210,0,0,0
102377,Undergraduate students,2740,1005,1735,9,8,1,15,10,5,2174,698,1476,31,7,24,20,9,11,25,13,12,25,14,11,441,246,195,0,0,0
102377,Graduate student,479,219,260,2,2,0,9,5,4,363,144,219,11,3,8,5,1,4,15,6,9,3,2,1,71,56,15,0,0,0
102395,Total students enrolled for credit,652,449,203,3,2,1,7,4,3,114,81,33,44,33,11,2,2,0,416,285,131,19,11,8,47,31,16,0,0,0
